e, e_dot, e_int, stamp, 
-0.0081763616160897, -0.005112682038626026, -0.0015330186824454195, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
-0.0081763616160897, 0.0, -0.00163527232321794, 213045000000, 
0.017606341400845604, 0.08594234338978435, 8.357454457774693e-05, 219811000000, 
0.017606341400845604, 0.08594234338978435, 0.0018024214123734338, 219811000000, 
0.017606341400845604, 0.0, 0.0035212682801691207, 219811000000, 
0.017606341400845604, 0.0, 0.0035212682801691207, 219811000000, 
0.04206357929115789, 0.08152412630104096, 0.00515175080618994, 220151000000, 
0.04206357929115789, 0.08152412630104096, 0.006782233332210759, 220151000000, 
0.04206357929115789, 0.0, 0.008412715858231579, 220151000000, 
0.04206357929115789, 0.0, 0.008412715858231579, 220151000000, 
0.04206357929115789, 0.0, 0.008412715858231579, 220151000000, 
0.04096057248874807, -0.003676689341366076, 0.008339182071404256, 220593000000, 
0.04096057248874807, -0.003676689341366076, 0.008265648284576935, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
0.04096057248874807, 0.0, 0.008192114497749614, 220593000000, 
