odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
5.5615134159436715e-05, 0.5000000074414978, -3.1399990033659777, 4.079965838349844e-06, -5.3575794447422374e-08, 0.024135413539104558, 0.5848749610334603, -3.139022604763493, 64978000000, 
5.561273116680786e-05, 0.5000000074756733, -3.139998997388214, 1.9348780374280428e-06, -6.783713707728417e-08, 0.021004852453073677, 0.5816597545730923, -3.1373459381773166, 65216000000, 
5.561288385944648e-05, 0.5000000075090449, -3.139998990641727, 1.9272153843093532e-06, -6.759034593125054e-08, 0.026184913655013208, 0.5856180798282579, 3.137418050227869, 65488000000, 
5.559272915779226e-05, 0.5000000074649107, -3.139998981148133, 1.7656204517119787e-06, -7.812992798832146e-08, 0.027244469395088792, 0.5819709765776132, 3.139268964732221, 65862000000, 
5.5540799591962425e-05, 0.5000000074716728, -3.1399989696793655, 3.625619295136837e-06, -7.167992535616578e-08, 0.02631395279322378, 0.582686530989546, -3.1415845867815895, 66304000000, 
5.553564682806013e-05, 0.5000000074991082, -3.139998956966766, 4.362605825443602e-06, -6.160071630060447e-08, 0.024176024411436264, 0.5877660606911016, -3.1402498339958433, 66814000000, 
5.548443733064249e-05, 0.5000000074385723, -3.1399989547221736, 2.5998365233553664e-06, -6.204497872681822e-08, 0.02646683546606023, 0.5828043822426112, -3.1407852555433795, 66882000000, 
-0.05104393060383861, 0.4975610711216373, -3.0444884324238495, 0.15117504223328293, 0.2810784895869729, -0.018630038345917355, 0.5844049542410226, -3.061851589978486, 67358000000, 
-0.14205565562665035, 0.480522743078116, -2.867560713562722, 0.15147519647418037, 0.2869298858761323, -0.048989068679316454, 0.5808904818046007, -3.0047444440315902, 67970000000, 
-0.18123989554580772, 0.46785001894014927, -2.789282936767894, 0.15077587955660735, 0.2877818389578856, -0.1342037704688846, 0.5586759662132724, -2.81999240867697, 68242000000, 
-0.23703218774873192, 0.44409653010757144, -2.691345210267385, 0.14771649603914996, 0.23061977199572528, -0.168500300862548, 0.5474940123107953, -2.767535606193778, 68650000000, 
-0.5013916811774684, 0.2836808505863909, -2.585938837137457, 0.13450313410469678, -0.007445671442946809, -0.4322807882766312, 0.3936778461624024, -2.5841361041297812, 70894000000, 
-0.5480480726010377, 0.2548031730467165, -2.5889805641233994, 0.1344929365508547, -0.007445739048052336, -0.4609419365878135, 0.3804088923838052, -2.5830599297141155, 71302000000, 
